No,구분,대분류,중분류,"소분류
(작업 기준)","작업
등급",재해유형,세부 위험요인,"위험
등급",위험성 감소 대책,"위험
등급"
1,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,인력 고소작업 시 추락 위험,C4,안전벨트 착용 및 안전고리 체결,C1
2,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,고소차 외부 충돌에 의한 위험,C3,"고소차 사용(붐이동 시 벗킷에 안전고리체결, 이동 완료 후 주변 시설물에 안전고리 체결)",C1
3,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,안전벨트 미착용 및 안전고리 미체결로 추락 위험,C3,2m이상 고소작업 시 전체식 안전대 착용 및 안전고리 체결,C1
4,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,고소차 상부 작업자 안전고리 미체결로 추락 위험,C3,"고소차 사용(붐이동 시 벗킷에 안전고리체결, 이동 완료 후 주변 시설물에 안전고리 체결)",C1
5,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,자재 인양줄 결속상태의 불량으로 작업자 추락,C3,"추락방지 안전구역 설정, 재재 인양 시 보조 인양줄 설치",C1
6,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계를 활용하여 10m/s이상 시 중장비 사용 작업 중지,C1
7,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,떨어짐,강풍에 의한 작업자 추락,C1,풍속계 활용하여 14m/s이상 시 옥외 작업 중지(기상 경보 발령시),C1
8,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,넘어짐,주변 재재에 걸려 넘어질 위험,C1,"각반착용 및 전방주시 및 주변시설물(지선,블록,구조물)확인, 정리정돈 철저",C1
9,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,넘어짐,작업시 근로자 넘어짐에 따른 부상,C1,"안전화착용(미끄럼방지등), 겨울철 결빙시는 친환경 제설제 살포 후 안전작업",C1
10,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,넘어짐,기존 시설물에 부딪히거나 걸려 넘어짐,C1,"전방주시 및 주변시설물(지선,블록,구조물)확인",C1
11,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,깔림,자재 인양줄 결속상태의 불량으로 하단 작업자 깔림,C3,자재 운반시 2중으로 인양줄 설치,C1
12,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,깔림,고소차량등 전도에 의한 위험,C2,중장비 사용 시 수평 유지 및 아웃트리거 받임목 설치,C1
13,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,부딪힘,자재 인양중 흔들림에 의한 작업자와 부딪힘,C1,재재 인양 시 보조 인양줄 설치로 흔들림 예방,C1
14,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,절단/배임/찔림,현장에서 자재 조립에의한 배임/찔림,C1,작업시 반드시 작업용 장갑 착용,C1
15,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,감전,승주 시 누전에 의한 감전 사고,C2,승주전 비접촉검전기 활용 누전 유무 확인,C1
16,SKO,기지국/중계기,실외,"고소작업(철탑/강관주/CP주 건립, 해체, 보강)",S등급,교통사고,작업중 외부 차량과 고소차 충돌 위험,C3,작업 반경 주변 안전구역 설정 및 신호수 배치,C1
